source,target,value
First Republic,Top 10 lenders in Boston,1085079
"Guaranteed Rate, Inc.",Top 10 lenders in Boston,885002
Wells Fargo,Top 10 lenders in Boston,818276
Union Yes Federal Credit Union,Top 10 lenders in Boston,790334
Bank of America,Top 10 lenders in Boston,653588
JP Morgan Chase,Top 10 lenders in Boston,601760
Loandepot.com,Top 10 lenders in Boston,593367
Boston Private B&TC,Top 10 lenders in Boston,418113
East Boston Savings Bank,Top 10 lenders in Boston,374095
Quicken Loans,Top 10 lenders in Boston,345239
Top 10 lenders in Boston,Total lending amount,6564853
Others,Other lenders in Boston,12720102
Other lenders in Boston,Total lending amount,12720102
